p length multiplicity
5	4	1
7	6	1
11	5	2
13	3	4
17	16	1
19	18	1
23	11	2
29	28	1
31	30	1
37	18	2
41	8	5
43	42	1
47	23	2
53	52	1
59	29	2
61	10	6
67	22	3
71	35	2
73	12	6
79	78	1
83	41	2
89	88	1
97	48	2
101	100	1
103	34	3
107	53	2
109	27	4
113	112	1
127	126	1
131	65	2
137	136	1
139	138	1
149	148	1
151	50	3
157	78	2
163	162	1
167	83	2
173	172	1
179	89	2
181	45	4
191	95	2
193	16	12
197	196	1
199	198	1
211	210	1
223	222	1
227	113	2
229	57	4
233	232	1
239	119	2
241	120	2
251	125	2
257	256	1
263	131	2
269	268	1
271	30	9
277	69	4
281	280	1
283	282	1
293	292	1
307	34	9
311	155	2
313	39	8
317	316	1
331	330	1
337	168	2
347	173	2
349	174	2
353	352	1
359	179	2
367	122	3
373	186	2
379	378	1
383	191	2
389	388	1
397	198	2
401	400	1
409	204	2
419	209	2
421	105	4
431	43	10
433	27	16
439	146	3
443	221	2
449	448	1
457	228	2
461	460	1
463	462	1
467	233	2
479	239	2
487	486	1
491	49	10
499	166	3
503	251	2
509	508	1
521	520	1
523	58	9
541	135	4
547	14	39
557	556	1
563	281	2
569	568	1
571	570	1
577	48	12
587	293	2
593	592	1
599	299	2
601	75	8
607	606	1
613	102	6
617	616	1
619	206	3
631	630	1
641	640	1
643	214	3
647	323	2
653	652	1
659	329	2
661	22	30
673	168	4
677	676	1
683	31	22
691	690	1
701	700	1
709	177	4
719	359	2
727	242	3
733	183	4
739	738	1
743	371	2
751	750	1
757	9	84
761	152	5
769	48	16
773	772	1
787	262	3
797	796	1
809	808	1
811	810	1
821	820	1
823	822	1
827	413	2
829	207	4
839	419	2
853	142	6
857	856	1
859	858	1
863	431	2
877	438	2
881	880	1
883	126	7
887	443	2
907	906	1
911	455	2
919	306	3
929	928	1
937	234	4
941	940	1
947	473	2
953	952	1
967	322	3
971	485	2
977	976	1
983	491	2
991	330	3
997	166	6
1009	168	6
1013	1012	1
1019	509	2
1021	34	30
1031	515	2
1033	516	2
1039	1038	1
1049	1048	1
1051	210	5
1061	1060	1
1063	1062	1
1069	534	2
1087	1086	1
1091	109	10
1093	7	156
1097	1096	1
1103	551	2
1109	1108	1
1117	93	12
1123	1122	1
1129	564	2
1151	575	2
1153	576	2
1163	581	2
1171	234	5
1181	20	59
1187	593	2
1193	1192	1
1201	300	4
1213	303	4
1217	1216	1
1223	47	26
1229	1228	1
1231	1230	1
1237	309	4
1249	208	6
1259	629	2
1277	1276	1
1279	1278	1
1283	641	2
1289	184	7
1291	1290	1
1297	162	8
1301	1300	1
1303	434	3
1307	653	2
1319	659	2
1321	55	24
1327	1326	1
1361	1360	1
1367	683	2
1373	1372	1
1381	345	4
1399	466	3
1409	1408	1
1423	1422	1
1427	713	2
1429	714	2
1433	1432	1
1439	719	2
1447	1446	1
1451	725	2
1453	363	4
1459	1458	1
1471	294	5
1481	1480	1
1483	1482	1
1487	743	2
1489	744	2
1493	1492	1
1499	749	2
1511	151	10
1523	761	2
1531	170	9
1543	514	3
1549	258	6
1553	1552	1
1559	779	2
1567	1566	1
1571	785	2
1579	1578	1
1583	113	14
1597	19	84
1601	1600	1
1607	803	2
1609	268	6
1613	1612	1
1619	809	2
1621	45	36
1627	1626	1
1637	1636	1
1657	207	8
1663	1662	1
1667	833	2
1669	139	12
1693	846	2
1697	1696	1
1699	1698	1
1709	1708	1
1721	1720	1
1723	1722	1
1733	1732	1
1741	870	2
1747	1746	1
1753	876	2
1759	586	3
1777	888	2
1783	594	3
1787	893	2
1789	894	2
1801	450	4
1811	905	2
1823	911	2
1831	1830	1
1847	923	2
1861	310	6
1867	622	3
1871	17	110
1873	936	2
1877	268	7
1879	626	3
1889	1888	1
1901	1900	1
1907	953	2
1913	1912	1
1931	965	2
1933	322	6
1949	1948	1
1951	1950	1
1973	1972	1
1979	989	2
1987	1986	1
1993	498	4
1997	1996	1
1999	1998	1
2003	1001	2
2011	2010	1
2017	1008	2
2027	1013	2
2029	169	12
2039	1019	2
2053	1026	2
2063	1031	2
2069	2068	1
2081	2080	1
2083	2082	1
2087	1043	2
2089	1044	2
2099	1049	2
2111	211	10
2113	1056	2
2129	2128	1
2131	142	15
2137	534	4
2141	2140	1
2143	2142	1
2153	2152	1
2161	216	10
2179	242	9
2203	734	3
2207	1103	2
2213	2212	1
2221	185	12
2237	2236	1
2239	2238	1
2243	1121	2
2251	250	9
2267	1133	2
2269	42	54
2273	2272	1
2281	228	10
2287	762	3
2293	1146	2
2297	328	7
2309	2308	1
2311	2310	1
2333	2332	1
2339	1169	2
2341	195	12
2347	2346	1
2351	1175	2
2357	2356	1
2371	2370	1
2377	1188	2
2381	2380	1
2383	794	3
2389	398	6
2393	2392	1
2399	1199	2
2411	1205	2
2417	2416	1
2423	1211	2
2437	1218	2
2441	488	5
2447	1223	2
2459	1229	2
2467	2466	1
2473	618	4
2477	2476	1
2503	2502	1
2521	126	20
2531	1265	2
2539	2538	1
2543	1271	2
2549	2548	1
2551	150	17
2557	639	4
2579	1289	2
2591	259	10
2593	648	4
2609	2608	1
2617	436	6
2621	524	5
2633	2632	1
2647	2646	1
2657	2656	1
2659	2658	1
2663	1331	2
2671	890	3
2677	669	4
2683	2682	1
2687	1343	2
2689	1344	2
2693	2692	1
2699	1349	2
2707	2706	1
2711	1355	2
2713	452	6
2719	2718	1
2729	2728	1
2731	2730	1
2741	2740	1
2749	1374	2
2753	2752	1
2767	2766	1
2777	2776	1
2789	2788	1
2791	558	5
2797	699	4
2801	2800	1
2803	934	3
2819	1409	2
2833	708	4
2837	2836	1
2843	203	14
2851	38	75
2857	84	34
2861	2860	1
2879	1439	2
2887	78	37
2897	2896	1
2903	1451	2
2909	2908	1
2917	1458	2
2927	209	14
2939	1469	2
2953	738	4
2957	2956	1
2963	1481	2
2969	2968	1
2971	990	3
2999	1499	2
3001	500	6
3011	1505	2
3019	1006	3
3023	1511	2
3037	1518	2
3041	3040	1
3049	508	6
3061	1530	2
3067	1022	3
3079	114	27
3083	1541	2
3089	3088	1
3109	518	6
3119	1559	2
3121	1560	2
3137	3136	1
3163	3162	1
3167	1583	2
3169	792	4
3181	265	12
3187	118	27
3191	319	10
3203	1601	2
3209	3208	1
3217	536	6
3221	644	5
3229	807	4
3251	1625	2
3253	271	12
3257	3256	1
3259	3258	1
3271	3270	1
3299	1649	2
3301	1650	2
3307	3306	1
3313	1656	2
3319	1106	3
3323	1661	2
3329	3328	1
3331	3330	1
3343	1114	3
3347	1673	2
3359	1679	2
3361	1680	2
3371	1685	2
3373	281	12
3389	3388	1
3391	3390	1
3407	1703	2
3413	3412	1
3433	1716	2
3449	3448	1
3457	1728	2
3461	3460	1
3463	3462	1
3467	1733	2
3469	867	4
3491	1745	2
3499	1166	3
3511	270	13
3517	586	6
3527	1763	2
3529	294	12
3533	3532	1
3539	1769	2
3541	1770	2
3547	3546	1
3557	3556	1
3559	3558	1
3571	3570	1
3581	3580	1
3583	3582	1
3593	3592	1
3607	1202	3
3613	1806	2
3617	3616	1
3623	1811	2
3631	1210	3
3637	909	4
3643	3642	1
3659	1829	2
3671	1835	2
3673	459	8
3677	3676	1
3691	738	5
3697	231	16
3701	3700	1
3709	1854	2
3719	1859	2
3727	3726	1
3733	311	12
3739	1246	3
3761	3760	1
3767	1883	2
3769	942	4
3779	1889	2
3793	1896	2
3797	3796	1
3803	1901	2
3821	3820	1
3823	3822	1
3833	3832	1
3847	1282	3
3851	11	350
3853	321	12
3863	1931	2
3877	1938	2
3881	776	5
3889	81	48
3907	1302	3
3911	1955	2
3917	3916	1
3919	3918	1
3923	1961	2
3929	3928	1
3931	3930	1
3943	3942	1
3947	1973	2
3967	1322	3
3989	3988	1
4001	4000	1
4003	4002	1
4007	2003	2
4013	4012	1
4019	49	82
4021	1005	4
4027	4026	1
4049	4048	1
4051	810	5
4057	338	12
4073	4072	1
4079	2039	2
4091	2045	2
4093	341	12
4099	1366	3
4111	822	5
4127	2063	2
4129	129	32
4133	4132	1
4139	2069	2
4153	519	8
4157	4156	1
4159	4158	1
4177	232	18
4201	420	10
4211	2105	2
4217	4216	1
4219	4218	1
4229	4228	1
4231	4230	1
4241	4240	1
4243	4242	1
4253	4252	1
4259	2129	2
4261	2130	2
4271	2135	2
4273	2136	2
4283	2141	2
4289	4288	1
4297	537	8
4327	4326	1
4337	4336	1
4339	482	9
4349	4348	1
4357	198	22
4363	4362	1
4373	4372	1
4391	2195	2
4397	4396	1
4409	4408	1
4421	4420	1
4423	4422	1
4441	1110	4
4447	4446	1
4451	2225	2
4457	4456	1
4463	2231	2
4481	4480	1
4483	1494	3
4493	4492	1
4507	4506	1
4513	376	12
4517	4516	1
4519	4518	1
4523	2261	2
4547	2273	2
4549	2274	2
4561	15	304
4567	4566	1
4583	2291	2
4591	270	17
4597	2298	2
4603	4602	1
4621	2310	2
4637	4636	1
4639	4638	1
4643	2321	2
4649	4648	1
4651	4650	1
4657	2328	2
4663	4662	1
4673	4672	1
4679	2339	2
4691	2345	2
4703	2351	2
4721	944	5
4723	4722	1
4729	788	6
4733	676	7
4751	2375	2
4759	4758	1
4783	1594	3
4787	2393	2
4789	2394	2
4793	4792	1
4799	2399	2
4801	240	20
4813	2406	2
4817	4816	1
4831	4830	1
4861	1215	4
4871	2435	2
4877	4876	1
4889	4888	1
4903	4902	1
4909	1227	4
4919	2459	2
4931	2465	2
4933	137	36
4937	4936	1
4943	2471	2
4951	330	15
4957	413	12
4967	2483	2
4969	207	24
4973	4972	1
4987	4986	1
4993	832	6
4999	4998	1
5003	2501	2
5009	5008	1
5011	1670	3
5021	5020	1
5023	5022	1
5039	2519	2
5051	2525	2
5059	1686	3
5077	846	6
5081	5080	1
5087	2543	2
5099	2549	2
5101	1275	4
5107	138	37
5113	213	24
5119	5118	1
5147	2573	2
5153	736	7
5167	738	7
5171	235	22
5179	1726	3
5189	5188	1
5197	866	6
5209	1302	4
5227	1742	3
5231	2615	2
5233	436	12
5237	5236	1
5261	5260	1
5273	5272	1
5279	2639	2
5281	1320	4
5297	5296	1
5303	2651	2
5309	5308	1
5323	1774	3
5333	5332	1
5347	5346	1
5351	535	10
5381	5380	1
5387	2693	2
5393	5392	1
5399	2699	2
5407	5406	1
5413	1353	4
5417	5416	1
5419	5418	1
5431	5430	1
5437	1359	4
5441	5440	1
5443	5442	1
5449	1362	4
5471	2735	2
5477	5476	1
5479	5478	1
5483	2741	2
5501	44	125
5503	5502	1
5507	2753	2
5519	2759	2
5521	460	12
5527	1842	3
5531	395	14
5557	1389	4
5563	5562	1
5569	928	6
5573	5572	1
5581	2790	2
5591	559	10
5623	1874	3
5639	2819	2
5641	2820	2
5647	5646	1
5651	2825	2
5653	2826	2
5657	5656	1
5659	1886	3
5669	5668	1
5683	5682	1
5689	2844	2
5693	5692	1
5701	1425	4
5711	2855	2
5717	5716	1
5737	956	6
5741	5740	1
5743	522	11
5749	1437	4
5779	5778	1
5783	2891	2
5791	1930	3
5801	5800	1
5807	2903	2
5813	5812	1
5821	1455	4
5827	5826	1
5839	1946	3
5843	127	46
5849	5848	1
5851	1950	3
5857	2928	2
5861	5860	1
5867	2933	2
5869	1467	4
5879	2939	2
5881	2940	2
5897	5896	1
5903	2951	2
5923	5922	1
5927	2963	2
5939	2969	2
5953	2976	2
5981	5980	1
5987	2993	2
6007	6006	1
6011	601	10
6029	6028	1
6037	3018	2
6043	2014	3
6047	3023	2
6053	6052	1
6067	674	9
6073	759	8
6079	2026	3
6089	6088	1
6091	58	105
6101	1220	5
6113	6112	1
6121	3060	2
6131	3065	2
6133	3066	2
6143	3071	2
6151	6150	1
6163	6162	1
6173	6172	1
6197	6196	1
6199	6198	1
6203	3101	2
6211	230	27
6217	3108	2
6221	6220	1
6229	3114	2
6247	694	9
6257	6256	1
6263	3131	2
6269	6268	1
6271	2090	3
6277	3138	2
6287	3143	2
6299	3149	2
6301	105	60
6311	631	10
6317	6316	1
6323	3161	2
6329	6328	1
6337	1584	4
6343	6342	1
6353	6352	1
6359	187	34
6361	3180	2
6367	6366	1
6373	3186	2
6379	6378	1
6389	6388	1
6397	3198	2
6421	321	20
6427	6426	1
6449	6448	1
6451	6450	1
6469	1617	4
6473	6472	1
6481	24	270
6491	3245	2
6521	1304	5
6529	816	8
6547	6546	1
6551	3275	2
6553	39	168
6563	193	34
6569	6568	1
6571	6570	1
6577	3288	2
6581	1316	5
6599	3299	2
6607	6606	1
6619	6618	1
6637	1106	6
6653	6652	1
6659	3329	2
6661	1665	4
6673	3336	2
6679	954	7
6689	6688	1
6691	6690	1
6701	1340	5
6703	2234	3
6709	1118	6
6719	3359	2
6733	1683	4
6737	6736	1
6761	6760	1
6763	6762	1
6779	3389	2
6781	1695	4
6791	3395	2
6793	1698	4
6803	3401	2
6823	6822	1
6827	3413	2
6829	3414	2
6833	6832	1
6841	3420	2
6857	6856	1
6863	3431	2
6869	6868	1
6871	6870	1
6883	62	111
6899	3449	2
6907	6906	1
6911	3455	2
6917	6916	1
6947	3473	2
6949	1737	4
6959	3479	2
6961	3480	2
6967	2322	3
6971	205	34
6977	6976	1
6983	3491	2
6991	466	15
6997	1749	4
7001	7000	1
7013	7012	1
7019	3509	2
7027	2342	3
7039	7038	1
7043	503	14
7057	882	8
7069	589	12
7079	3539	2
7103	3551	2
7109	7108	1
7121	7120	1
7127	509	14
7129	3564	2
7151	3575	2
7159	7158	1
7177	598	12
7187	3593	2
7193	7192	1
7207	7206	1
7211	3605	2
7213	1202	6
7219	2406	3
7229	7228	1
7237	1809	4
7243	7242	1
7247	3623	2
7253	7252	1
7283	3641	2
7297	192	38
7307	3653	2
7309	3654	2
7321	1830	4
7331	733	10
7333	39	188
7349	7348	1
7351	2450	3
7369	614	12
7393	616	12
7411	7410	1
7417	1854	4
7433	7432	1
7451	149	50
7457	7456	1
7459	7458	1
7477	1869	4
7481	440	17
7487	3743	2
7489	3744	2
7499	3749	2
7507	834	9
7517	7516	1
7523	3761	2
7529	7528	1
7537	1884	4
7541	7540	1
7547	3773	2
7549	3774	2
7559	3779	2
7561	1260	6
7573	631	12
7577	7576	1
7583	3791	2
7589	1084	7
7591	506	15
7603	7602	1
7607	3803	2
7621	1905	4
7639	2546	3
7643	3821	2
7649	7648	1
7669	639	12
7673	7672	1
7681	640	12
7687	854	9
7691	3845	2
7699	7698	1
7703	3851	2
7717	643	12
7723	7722	1
7727	3863	2
7741	1935	4
7753	228	34
7757	1108	7
7759	7758	1
7789	3894	2
7793	7792	1
7817	7816	1
7823	3911	2
7829	7828	1
7841	1120	7
7853	604	13
7867	7866	1
7873	3936	2
7877	7876	1
7879	7878	1
7883	3941	2
7901	7900	1
7907	3953	2
7919	3959	2
7927	7926	1
7933	3966	2
7937	7936	1
7949	7948	1
7951	2650	3
7963	2654	3
7993	1998	4
8009	8008	1
8011	2670	3
8017	1002	8
8039	4019	2
8053	671	12
8059	8058	1
8069	8068	1
8081	8080	1
8087	4043	2
8089	337	24
8093	8092	1
8101	810	10
8111	4055	2
8117	8116	1
8123	4061	2
8147	4073	2
8161	1360	6
8167	8166	1
8171	4085	2
8179	8178	1
8191	910	9
8209	27	304
8219	4109	2
8221	1370	6
8231	4115	2
8233	49	168
8237	8236	1
8243	4121	2
8263	8262	1
8269	4134	2
8273	8272	1
8287	8286	1
8291	4145	2
8293	4146	2
8297	8296	1
8311	8310	1
8317	594	14
8329	4164	2
8353	4176	2
8363	4181	2
8369	8368	1
8377	1396	6
8387	4193	2
8389	4194	2
8419	8418	1
8423	4211	2
8429	8428	1
8431	8430	1
8443	8442	1
8447	4223	2
8461	1410	6
8467	8466	1
8501	500	17
8513	448	19
8521	1065	8
8527	2842	3
8537	8536	1
8539	8538	1
8543	4271	2
8563	8562	1
8573	8572	1
8581	1430	6
